,schet_2,balance_name,schet_1_name,sum2,bank,schet_1,Liquid,Work,Доля работающих активов,Уровень просрочки
0,10605,"Отрицательная переоценка ценных бумаг, оцениваемых по справедливой стоимости через прочий совокупный доход",Добавочный капитал,1748458000,АО ЮниКредит Банк,106,0,Неработающий,0.8784367362811438,0.0
1,10610,Уменьшение добавочного капитала на отложенный налог на прибыль,Добавочный капитал,2240072000,АО ЮниКредит Банк,106,0,Неработающий,0.8784367362811438,0.0
4,20202,Касса кредитных организаций,"Наличная валюта и чеки (в том числе дорожные чеки), номинальная стоимость которых указана в иностранной валюте",8030939000,АО ЮниКредит Банк,202,Высоколиквидный,Неработающий,0.8784367362811438,0.0
5,20208,Денежные средства в банкоматах и автоматических приемных устройствах,"Наличная валюта и чеки (в том числе дорожные чеки), номинальная стоимость которых указана в иностранной валюте",2427319000,АО ЮниКредит Банк,202,Высоколиквидный,Неработающий,0.8784367362811438,0.0
6,20209,Денежные средства в пути,"Наличная валюта и чеки (в том числе дорожные чеки), номинальная стоимость которых указана в иностранной валюте",139414000,АО ЮниКредит Банк,202,Высоколиквидный,Неработающий,0.8784367362811438,0.0
7,20308,Драгоценные металлы в монетах и памятных медалях,Драгоценные металлы,4851000,АО ЮниКредит Банк,203,Высоколиквидный,Неработающий,0.8784367362811438,0.0
8,30102,Корреспондентские счета кредитных организаций в Банке России,Корреспондентские счета,29902997000,АО ЮниКредит Банк,301,Высоколиквидный,Работающий,0.8784367362811438,0.0
9,30110,Корреспондентские счета в кредитных организациях - корреспондентах,Корреспондентские счета,806237000,АО ЮниКредит Банк,301,Высоколиквидный,Работающий,0.8784367362811438,0.0
10,30114,Корреспондентские счета в банках-нерезидентах,Корреспондентские счета,43836996000,АО ЮниКредит Банк,301,Высоколиквидный,Работающий,0.8784367362811438,0.0
11,30202,"Обязательные резервы кредитных организаций, депонированные в Банке России",Счета кредитных организаций по другим операциям,10488986000,АО ЮниКредит Банк,302,Неликвидный,Неработающий,0.8784367362811438,0.0
12,30215,Взносы в гарантийный фонд платежной системы,Счета кредитных организаций по другим операциям,480888000,АО ЮниКредит Банк,302,0,Неработающий,0.8784367362811438,0.0
13,30233,Незавершенные расчеты с операторами услуг платежной инфраструктуры и операторами по переводу денежных средств,Счета кредитных организаций по другим операциям,484115000,АО ЮниКредит Банк,302,Высоколиквидный,Неработающий,0.8784367362811438,0.0
15,32003,на срок от 2 до 7 дней,"Кредиты и депозиты, предоставленные кредитным организациям",19000000000,АО ЮниКредит Банк,320,Ликвидный,Работающий,0.8784367362811438,2.0067772756071556e-06
16,32004,на срок от 8 до 30 дней,"Кредиты и депозиты, предоставленные кредитным организациям",400000000,АО ЮниКредит Банк,320,Ликвидный,Работающий,0.8784367362811438,2.0067772756071556e-06
17,32008,на срок от 1 года до 3 лет,"Кредиты и депозиты, предоставленные кредитным организациям",14162696000,АО ЮниКредит Банк,320,Неликвидный,Работающий,0.8784367362811438,2.0067772756071556e-06
19,32101,"Кредит, предоставленный при недостатке средств на корреспондентском счете (""овердрафт"")","Кредиты и депозиты, предоставленные банкам-нерезидентам",3668055000,АО ЮниКредит Банк,321,Ликвидный,Работающий,0.8784367362811438,1.6118494998874952e-05
20,32102,на 1 день,"Кредиты и депозиты, предоставленные банкам-нерезидентам",38908700000,АО ЮниКредит Банк,321,Высоколиквидный,Работающий,0.8784367362811438,1.6118494998874952e-05
21,32105,на срок от 31 до 90 дней,"Кредиты и депозиты, предоставленные банкам-нерезидентам",25992570000,АО ЮниКредит Банк,321,Неликвидный,Работающий,0.8784367362811438,1.6118494998874952e-05
22,32108,на срок от 1 года до 3 лет,"Кредиты и депозиты, предоставленные банкам-нерезидентам",855991000,АО ЮниКредит Банк,321,Неликвидный,Работающий,0.8784367362811438,1.6118494998874952e-05
23,32201,до востребования,Прочие размещенные средства в кредитных организациях,361803000,АО ЮниКредит Банк,322,Высоколиквидный,Работающий,0.8784367362811438,2.0067772756071556e-06
24,32202,на 1 день,Прочие размещенные средства в кредитных организациях,95273591000,АО ЮниКредит Банк,322,Высоколиквидный,Работающий,0.8784367362811438,2.0067772756071556e-06
25,32203,на срок от 2 до 7 дней,Прочие размещенные средства в кредитных организациях,60541025000,АО ЮниКредит Банк,322,Ликвидный,Работающий,0.8784367362811438,2.0067772756071556e-06
26,32204,на срок от 8 до 30 дней,Прочие размещенные средства в кредитных организациях,599248000,АО ЮниКредит Банк,322,Ликвидный,Работающий,0.8784367362811438,2.0067772756071556e-06
28,32301,до востребования,Прочие размещенные средства в банках-нерезидентах,24504049000,АО ЮниКредит Банк,323,Высоколиквидный,Работающий,0.8784367362811438,1.6118494998874952e-05
29,32401,"по межбанковским кредитам, депозитам и прочим размещенным средствам, предоставленным кредитным организациям","Просроченная задолженность по предоставленным межбанковским кредитам, депозитам и прочим размещенным средствам",382000,АО ЮниКредит Банк,324,Неликвидный,Неработающий,0.8784367362811438,0.0
30,32402,"по межбанковским кредитам, депозитам и прочим размещенным средствам, предоставленным банкам-нерезидентам","Просроченная задолженность по предоставленным межбанковским кредитам, депозитам и прочим размещенным средствам",1514000,АО ЮниКредит Банк,324,Неликвидный,Неработающий,0.8784367362811438,0.0
31,45107,на срок от 1 года до 3 лет,"Кредиты, предоставленные негосударственным финансовым организациям",2023000000,АО ЮниКредит Банк,451,Неликвидный,Работающий,0.8784367362811438,0.0009818069010169783
32,45108,на срок свыше 3 лет,"Кредиты, предоставленные негосударственным финансовым организациям",2122115000,АО ЮниКредит Банк,451,Неликвидный,Работающий,0.8784367362811438,0.0009818069010169783
33,45201,"Кредит, предоставленный при недостатке средств на расчетном (текущем) счете (""овердрафт"")","Кредиты, предоставленные негосударственным коммерческим организациям",1984817000,АО ЮниКредит Банк,452,Ликвидный,Работающий,0.8784367362811438,0.010772989695714937
34,45203,на срок до 30 дней,"Кредиты, предоставленные негосударственным коммерческим организациям",5229535000,АО ЮниКредит Банк,452,Ликвидный,Работающий,0.8784367362811438,0.010772989695714937
35,45204,на срок от 31 до 90 дней,"Кредиты, предоставленные негосударственным коммерческим организациям",8689057000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
36,45205,на срок от 91 до 180 дней,"Кредиты, предоставленные негосударственным коммерческим организациям",10845474000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
37,45206,на срок от 181 дня до 1 года,"Кредиты, предоставленные негосударственным коммерческим организациям",76003876000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
38,45207,на срок от 1 года до 3 лет,"Кредиты, предоставленные негосударственным коммерческим организациям",111216574000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
39,45208,на срок свыше 3 лет,"Кредиты, предоставленные негосударственным коммерческим организациям",204485691000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
40,45211,Приобретенные права требования по договорам на предоставление (размещение) денежных средств,"Кредиты, предоставленные негосударственным коммерческим организациям",29816436000,АО ЮниКредит Банк,452,Неликвидный,Работающий,0.8784367362811438,0.010772989695714937
41,45401,"Кредит, предоставленный при недостатке средств на расчетном (текущем) счете (""овердрафт"")","Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",86147000,АО ЮниКредит Банк,454,Ликвидный,Работающий,0.8784367362811438,0.16058266913120053
42,45404,Кредиты на срок от 31 до 90 дней,"Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",51550000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
43,45405,Кредиты на срок от 91 до 180 дней,"Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",5025000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
44,45406,Кредиты на срок от 181 дня до 1 года,"Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",230134000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
45,45407,Кредиты на срок от 1 года до 3 лет,"Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",187449000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
46,45408,Кредиты на срок свыше 3 лет,"Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",214276000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
47,45410,"Прочие средства, предоставленные индивидуальным предпринимателям","Кредиты и прочие средства, предоставленные индивидуальным предпринимателям",2650000,АО ЮниКредит Банк,454,Неликвидный,Работающий,0.8784367362811438,0.16058266913120053
49,45505,Кредиты на срок от 181 дня до 1 года,"Кредиты и прочие средства, предоставленные физическим лицам",213094000,АО ЮниКредит Банк,455,Неликвидный,Работающий,0.8784367362811438,0.06053906957990136
50,45506,Кредиты на срок от 1 года до 3 лет,"Кредиты и прочие средства, предоставленные физическим лицам",14747404000,АО ЮниКредит Банк,455,Неликвидный,Работающий,0.8784367362811438,0.06053906957990136
51,45507,Кредиты на срок свыше 3 лет,"Кредиты и прочие средства, предоставленные физическим лицам",126351982000,АО ЮниКредит Банк,455,Неликвидный,Работающий,0.8784367362811438,0.06053906957990136
52,45509,"Кредит, предоставленный при недостатке средств на депозитном счете (""овердрафт"")","Кредиты и прочие средства, предоставленные физическим лицам",3899065000,АО ЮниКредит Банк,455,Ликвидный,Работающий,0.8784367362811438,0.06053906957990136
53,45511,Приобретенные права требования по договорам на предоставление (размещение) денежных средств,"Кредиты и прочие средства, предоставленные физическим лицам",64358000,АО ЮниКредит Банк,455,Неликвидный,Работающий,0.8784367362811438,0.06053906957990136
54,45602,на срок от 31 до 90 дней,"Кредиты, предоставленные юридическим лицам - нерезидентам",70036000,АО ЮниКредит Банк,456,Неликвидный,Работающий,0.8784367362811438,0.0002443450245085038
55,45603,на срок от 91 до 180 дней,"Кредиты, предоставленные юридическим лицам - нерезидентам",1688638000,АО ЮниКредит Банк,456,Неликвидный,Работающий,0.8784367362811438,0.0002443450245085038
56,45604,на срок от 181 дня до 1 года,"Кредиты, предоставленные юридическим лицам - нерезидентам",2092073000,АО ЮниКредит Банк,456,Неликвидный,Работающий,0.8784367362811438,0.0002443450245085038
57,45605,на срок от 1 года до 3 лет,"Кредиты, предоставленные юридическим лицам - нерезидентам",5058131000,АО ЮниКредит Банк,456,Неликвидный,Работающий,0.8784367362811438,0.0002443450245085038
58,45606,на срок свыше 3 лет,"Кредиты, предоставленные юридическим лицам - нерезидентам",37374037000,АО ЮниКредит Банк,456,Неликвидный,Работающий,0.8784367362811438,0.0002443450245085038
59,45705,Кредиты на срок от 1 года до 3 лет,"Кредиты и прочие средства, предоставленные физическим лицам - нерезидентам",2616000,АО ЮниКредит Банк,457,Неликвидный,Работающий,0.8784367362811438,0.03782264339786925
60,45706,Кредиты на срок свыше 3 лет,"Кредиты и прочие средства, предоставленные физическим лицам - нерезидентам",1363411000,АО ЮниКредит Банк,457,Неликвидный,Работающий,0.8784367362811438,0.03782264339786925
61,45708,"Кредит, предоставленный при недостатке средств на депозитном счете (""овердрафт"")","Кредиты и прочие средства, предоставленные физическим лицам - нерезидентам",16769000,АО ЮниКредит Банк,457,Ликвидный,Работающий,0.8784367362811438,0.03782264339786925
62,45806,"Коммерческим организациям, находящимся в федеральной собственности",Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,135000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
63,45809,"Коммерческим организациям, находящимся в государственной (кроме федеральной) собственности",Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,668000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
64,45811,Негосударственным финансовым организациям,Просроченная задолженность по предоставленным кредитам и прочим размещенным средствам,4070000,АО ЮниКредит Банк,458,Неликвидный,Неработающий,0.8784367362811438,0.0
